trip_id,headway_secs,start_time,end_time
5781,900,03:00:00,06:00:00
5877,496,06:00:00,10:00:00
6391,900,10:00:00,15:00:00
6619,800,15:00:00,19:00:00
6765,1080,19:00:00,03:00:00
5775,900,03:00:00,06:00:00
5871,900,06:00:00,10:00:00
6229,900,10:00:00,15:00:00
6469,900,15:00:00,19:00:00
6639,1350,19:00:00,03:00:00
5776,900,03:00:00,06:00:00
5872,900,06:00:00,10:00:00
6230,900,10:00:00,15:00:00
6470,900,15:00:00,19:00:00
6640,1200,19:00:00,03:00:00
5777,1200,03:00:00,06:00:00
5825,400,06:00:00,10:00:00
6423,300,10:00:00,15:00:00
5881,300,15:00:00,19:00:00
6025,450,19:00:00,03:00:00
5782,900,03:00:00,06:00:00
5910,720,06:00:00,10:00:00
6296,900,10:00:00,15:00:00
6536,533,15:00:00,19:00:00
6770,1200,19:00:00,03:00:00
5778,1200,03:00:00,06:00:00
5826,400,06:00:00,10:00:00
6424,300,10:00:00,15:00:00
5882,300,15:00:00,19:00:00
6026,450,19:00:00,03:00:00
5780,900,03:00:00,06:00:00
5876,900,06:00:00,10:00:00
6234,900,10:00:00,15:00:00
6474,900,15:00:00,19:00:00
6644,1080,19:00:00,03:00:00
5779,900,03:00:00,06:00:00
5863,900,06:00:00,10:00:00
6221,900,10:00:00,15:00:00
6461,900,15:00:00,19:00:00
6635,1080,19:00:00,03:00:00
5772,900,03:00:00,06:00:00
5820,900,06:00:00,10:00:00
6178,900,10:00:00,15:00:00
6418,1200,15:00:00,19:00:00
5771,900,06:00:00,10:00:00
6123,900,10:00:00,15:00:00
6369,900,15:00:00,19:00:00
5773,900,03:00:00,06:00:00
5869,900,06:00:00,10:00:00
6227,900,10:00:00,15:00:00
6467,960,15:00:00,19:00:00
5774,1200,03:00:00,06:00:00
5810,900,06:00:00,10:00:00
6168,900,10:00:00,15:00:00
6408,900,15:00:00,19:00:00
6592,2700,19:00:00,03:00:00
1,3600,03:00:00,06:00:00
5,7200,06:00:00,10:00:00
4,3600,15:00:00,19:00:00
7810,3600,15:00:00,19:00:00
7773,3600,19:00:00,03:00:00
7683,1200,15:00:00,19:00:00
7482,900,15:00:00,19:00:00
7649,1107,06:00:00,10:00:00
7534,3600,03:00:00,06:00:00
7619,7200,06:00:00,10:00:00
7213,1800,15:00:00,19:00:00
7608,2057,15:00:00,19:00:00
7571,3600,10:00:00,15:00:00
7862,2571,10:00:00,15:00:00
6895,3600,06:00:00,10:00:00
7901,2880,15:00:00,19:00:00
7224,2057,06:00:00,10:00:00
7088,4500,10:00:00,15:00:00
7438,2400,15:00:00,19:00:00
7413,2571,10:00:00,15:00:00
7855,2400,06:00:00,10:00:00
6888,3600,15:00:00,19:00:00
